time_s,envelope_mV,activation,intensity
32.439,0.00816,0.0961,0
32.54,0.00654,0.0765,0
32.64,0.00532,0.0618,0
32.741,0.00451,0.052,0
32.842,0.00451,0.052,0
32.943,0.00329,0.0373,0
33.044,0.00288,0.0323,0
33.145,0.00247,0.0275,0
33.245,0.00329,0.0373,0
33.346,0.00288,0.0324,0
33.447,0.00492,0.0569,0
33.548,0.00777,0.0913,0
33.648,0.01062,0.1257,0
33.749,0.01388,0.1649,4
33.85,0.01591,0.1895,5
33.951,0.02365,0.2828,8
34.052,0.02691,0.3221,9
34.153,0.03465,0.4154,12
34.253,0.04157,0.4989,14
34.354,0.05216,0.6266,18
34.455,0.0713,0.8574,23
34.556,0.07415,0.8918,26
34.657,0.0713,0.8574,25
34.757,0.07049,0.8477,25
34.858,0.07009,0.8428,25
34.959,0.06356,0.764,22
35.06,0.0599,0.7199,21
35.161,0.05216,0.6267,18
35.261,0.04565,0.5482,16
35.362,0.03547,0.4253,12
35.463,0.01429,0.17,7
35.564,0.01063,0.1258,0
35.665,0.01104,0.1308,0
35.765,0.00901,0.1062,0
35.866,0.0082,0.0965,0
35.967,0.0074,0.0868,0
36.068,0.00739,0.0868,0
36.169,0.00699,0.0819,0
36.27,0.00617,0.072,0
36.37,0.00618,0.0721,0
36.471,0.00658,0.077,0
36.572,0.00495,0.0573,0
36.673,0.00454,0.0524,0
36.774,0.00495,0.0573,0
36.874,0.00698,0.0818,0
36.975,0.00901,0.1062,0
37.076,0.00901,0.1062,0
37.177,0.01144,0.1356,0
37.278,0.01551,0.1847,5
37.378,0.02448,0.2928,8
37.479,0.02896,0.3468,10
37.58,0.04077,0.4892,14
37.681,0.05421,0.6513,19
37.782,0.05543,0.666,19
37.882,0.06154,0.7397,22
37.983,0.06562,0.7889,23
38.084,0.06684,0.8036,24
38.185,0.0644,0.7741,23
38.286,0.06032,0.725,21
38.386,0.05095,0.612,18
38.487,0.04646,0.5579,16
38.588,0.03506,0.4204,12
38.689,0.02161,0.2582,7
38.79,0.01998,0.2386,7
38.891,0.01142,0.1354,0
38.991,0.00531,0.0617,0
39.092,0.0045,0.0518,0
39.193,0.00449,0.0518,0
39.294,0.0053,0.0616,0
39.395,0.0053,0.0616,0
39.495,0.0053,0.0616,0
39.596,0.0049,0.0567,0
39.697,0.0053,0.0615,0
39.798,0.0057,0.0664,0
39.899,0.00611,0.0713,0
39.999,0.00692,0.0811,0
40.1,0.00773,0.0909,0
40.201,0.01466,0.1744,5
40.302,0.01507,0.1794,5
40.403,0.01548,0.1843,5
40.503,0.02281,0.2727,8
40.604,0.0281,0.3365,10
40.705,0.03339,0.4003,12
40.806,0.04277,0.5134,15
40.907,0.04278,0.5135,15
41.007,0.05012,0.6019,18
41.108,0.05012,0.602,18
41.209,0.04808,0.5774,17
41.31,0.04646,0.5578,16
41.411,0.04645,0.5578,16
41.512,0.03953,0.4744,14
41.612,0.03424,0.4105,12
41.713,0.02936,0.3517,10
41.814,0.01917,0.2288,6
41.915,0.01836,0.2191,6
42.016,0.01062,0.1257,0
42.116,0.00981,0.1159,0
42.217,0.00573,0.0667,0
42.318,0.00613,0.0716,0
42.419,0.00613,0.0715,0
42.52,0.00572,0.0666,0
42.62,0.00572,0.0666,0
42.721,0.0049,0.0567,0
42.822,0.0057,0.0664,0
42.923,0.0057,0.0664,0
43.024,0.00571,0.0664,0
43.124,0.00571,0.0664,0
43.225,0.00531,0.0616,0
43.326,0.0049,0.0568,0
43.427,0.0041,0.047,0
43.528,0.00369,0.0422,0
43.628,0.0037,0.0422,0
